category,sublinktext,gpostsnip,sublinks,gpost,related,snippet,topstory,extras,link,extraslink,originallink
Top Stories,,"MH17: Russia attempts to shift blame over Malaysia Airlines tragedy:, Rebels hand over bodies, black boxes from Ukraine crash site,MH17: Russia attempts to shift blame over Malaysia Airlines tragedy",,"https://plus.google.com/+globeandmail/posts/HyYGYRNvNNr,http://bit.ly/1n7jkIy","/news/section?pz=1&cf=all&ned=in&hl=en&q=Ukraine&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Ukraine&ict=clu_top",A train carrying the remains of many of the nearly 300 victims of the Malaysia Airlines plane downed over Ukraine arrived in Ukrainian government territory on Tuesday as a separatist leader handed over the plane's black boxes to Malaysian experts.,"Bodies, black boxes handed over from Ukraine MH17 crash site","MH17 bodies arrive in Ukraine city Kharkiv,Malaysia Airlines MH17 LIVE: Packed in train, frozen bodies begin journey back ,Malaysia Airlines Flight 17",http://www.hindustantimes.com/world-news/mh17/bodies-black-boxes-handed-over-from-ukraine-crash-site/article1-1243255.aspx,"http://www.smh.com.au/world/mh17-bodies-arrive-in-ukraine-city-kharkiv-20140722-zvtuh.html,http://zeenews.india.com/news/world/malaysia-airlines-mh17-live-packed-in-train-frozen-bodies-begin-journey-back-home_949175.html,http://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_17",http://www.hindustantimes.com/world-news/mh17/bodies-black-boxes-handed-over-from-ukraine-crash-site/article1-1243255.aspx
Top Stories,,"ISRAEL-GAZA CRISIS: Israeli air strikes on Tuesday killed 7 people, in the Hamas-ruled Gaza Strip, raising the Palestinian toll to 583 in the 15-day conflict that has also left 27 Israeli soldiers dead,â€_, ,http://iexp.in/Nud99380","http://www.foxnews.com/us/2014/07/22/us-born-soldiers-killed-in-gaza-among-thousands-israel-lone-soldiers/,http://www.washingtonpost.com/national/gaza-death-toll-rises-as-truce-effort-intensifies/2014/07/21/524e2a04-113f-11e4-ac56-773e54a65906_story.html","https://plus.google.com/+indianexpress/posts/jZSx6x5EboJ,http://iexp.in/Nud99380","/news/section?pz=1&cf=all&ned=in&hl=en&q=Gaza+Strip&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Hamas&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Palestinian+people&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Gaza+Strip&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Hamas&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Palestinian+people&ict=clu_top",JERUSALEM - Israeli leaders have stressed two points in selling their Gaza Strip ground invasion internationally and at home: that they embraced all cease-fire proposals and that troops are targeting tunnels used by Palestinian militants to infiltrate theirÂ ...,Israel Is Facing Difficult Choice in Gaza Conflict,"Livni: 'No real option for cease-fire now',Israeli soldier missing as Gaza fighting rages on and truce efforts continue,LIVE UPDATES: Rocket directly strike house in central Israeli city Yehud",http://www.nytimes.com/2014/07/22/world/middleeast/israel-gaza-conflict.html,"http://www.jpost.com/Operation-Protective-Edge/Livni-No-real-option-for-cease-fire-now-368434,http://www.theglobeandmail.com/news/world/israeli-soldier-missing-after-deadly-gaza-battle-official-says/article19704652/,http://www.haaretz.com/news/diplomacy-defense/1.606534",http://www.nytimes.com/2014/07/22/world/middleeast/israel-gaza-conflict.html
Top Stories,,"Markandey Katju takes the fight forward, poses 6 questions to, Justice Lahoti ,http://zeenews.india.com/news/nation/markandey-katju-takes-the-fight-forward-poses-6-questions-to-justice-lahoti_949180.html,  Despite facing questions on the timing of his expose on political interference in judicial appointments, former Supreme C,â€_,ourt judge Markandey Katju appears to have decided to fight it out.Â ","http://www.ndtv.com/article/india/to-justice-katju-s-six-questions-justice-lahoti-says-please-look-up-records-563031,http://www.thehindu.com/news/national/tamil-nadu/dmk-slams-katju-for-baseless-allegations/article6237687.ece","https://plus.google.com/+zeenews/posts/G2JAYrbUFAz,http://zeenews.india.com/news/nation/markandey-katju-takes-the-fight-forward-poses-6-questions-to-justice-lahoti_949180.html","/news/section?pz=1&cf=all&ned=in&hl=en&q=Markandey+Katju&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Markandey+Katju&ict=clu_top","Other than the interference of the executive on the judiciary and how even corrupt judges had been appointed to the higher courts of India, Justice Markandey Katju's sensational revelation on Sunday exposed one more ill that ails governance in India - theÂ ...",From 2G to Katju expose: Is DMK the worst political ally ever?,"No comment by Manmohan Singh on Markandey Katju claim, says HR Bhardwaj ",http://www.firstpost.com/politics/from-2g-to-katju-expose-is-dmk-the-worst-political-ally-ever-1629119.html,http://economictimes.indiatimes.com/news/politics-and-nation/no-comment-by-manmohan-singh-on-markandey-katju-claim-says-h-r-bhardwaj-has-clarified/articleshow/38815454.cms,http://www.firstpost.com/politics/from-2g-to-katju-expose-is-dmk-the-worst-political-ally-ever-1629119.html
Top Stories,,,"http://uk.reuters.com/article/2014/07/22/uk-cricket-india-captains-idUKKBN0FR0VV20140722,http://www.firstpost.com/sports/from-ishants-magic-to-dhonis-winning-form-all-the-records-that-tumbled-at-lords-1629153.html",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Alastair+Cook&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Ishant+Sharma&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=England&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Alastair+Cook&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Ishant+Sharma&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=England&ict=clu_top","India's victory over England should rank as high as the team's recent triumph against Bangladesh, if not less. Bangladesh, however, may have reasons to complain they were a much better side than England at the Lord's.",India's Lord's win shouldn't give a false sense of achievement,"Alastair Cook too stubborn to quit captaincy - Geoffrey Boycott,Team India makes it count at Lord's,No one appreciates my efforts other than teammates: Ishant Sharma",http://www.hindustantimes.com/sports-news/cricketnews/india-s-lord-s--win-was-more-about-mindless-batting-by-falling-demigods/article1-1243263.aspx,"http://www.bbc.co.uk/sport/0/cricket/28418497,http://economictimes.indiatimes.com/opinion/editorial/team-india-makes-it-count-at-lords/articleshow/38833710.cms,http://zeenews.india.com/sports/cricket/india-vs-england-2014/no-one-appreciates-my-efforts-other-than-teammates-ishant-sharma_792147.html",http://www.hindustantimes.com/sports-news/cricketnews/india-s-lord-s--win-was-more-about-mindless-batting-by-falling-demigods/article1-1243263.aspx
Top Stories,,,"http://stream.wsj.com/story/latest-headlines/SS-2-63399/SS-2-585686/,http://www.businessweek.com/news/2014-07-22/xiaomi-unveils-bigger-screen-to-challenge-apple-samsung",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Xiaomi&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Smartphones&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Xiaomi&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Smartphones&ict=clu_top","Boy, is it a good start. The Mi 3 exudes confidence from the moment it's in your hands. The well-disguised silver back on our review unit could pass off for metal even on second glance, but tap on it and you can tell it's plastic.",Xiaomi Mi 3 review: A great all-rounder with literally no competition,"China's Xiaomi launches flagship Mi 4 smartphone, to actively target Indian market",http://tech.firstpost.com/reviews/xiaomi-mi-3-review-a-great-all-rounder-with-literally-no-competition-227744.html,http://economictimes.indiatimes.com/articleshow/38853926.cms,http://tech.firstpost.com/reviews/xiaomi-mi-3-review-a-great-all-rounder-with-literally-no-competition-227744.html
Top Stories,,,"http://www.firstpost.com/politics/work-congress-mukt-maharashtra-modi-tells-bjp-workers-1628417.html,http://www.financialexpress.com/news/nenergy-programme-should-focus-on-benefits-to-society-pm-narendra-modi-at-barc/1272345",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Narendra+Modi&ict=clu_top,/news/section?pz=1&cf=all&ned=in&hl=en&q=Narendra+Modi&ict=clu_top",The case of sexual abuse of a six year old in Bangalore took on national political overtones on Monday as students from Prime Minister Narendra Modi's party accused a state government run by the country's main opposition of inaction.,BJP takes to the street of Bangalore in protest of sexual abuse case,,http://www.dnaindia.com/india/report-bjp-takes-to-the-street-of-bangalore-in-protest-of-sexual-abuse-case-2004244,,http://www.dnaindia.com/india/report-bjp-takes-to-the-street-of-bangalore-in-protest-of-sexual-abuse-case-2004244
IndiaÂ Â»,,,"http://www.firstpost.com/india/god-can-stop-rapes-police-cant-anything-governor-1628971.html,http://www.aninews.in/videogallery9/25897-outgoing-up-governor-aziz-qureshi-gets-guard-of-honour.html",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Rape&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Uttar+Pradesh&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Police&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Rape&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Uttar+Pradesh&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Police&ict=clu_bl","Uttar Pradesh governor Aziz Qureshi on Monday stirred a hornet's nest when he said even if the entire world's police force is put on duty, rapes can probably be prevented only if gods come down from heaven.","Maybe only gods can stop rapes, says UP governor","Now Uttar Pradesh Governor utters insensitive comment about rapes; says even ,Rapes can only be prevented if gods come down from heaven: UP governor Aziz ",http://www.hindustantimes.com/india-news/maybe-only-gods-can-stop-rapes-says-up-governor/article1-1243014.aspx,"http://www.dnaindia.com/india/report-now-uttar-pradesh-governor-utters-insensitive-comment-about-rapes-says-even-god-cannot-stop-rapes-2004109,http://economictimes.indiatimes.com/news/politics-and-nation/rapes-can-only-be-prevented-if-gods-come-down-from-heaven-up-governor-aziz-qureshi/articleshow/38853626.cms",http://www.hindustantimes.com/india-news/maybe-only-gods-can-stop-rapes-says-up-governor/article1-1243014.aspx
IndiaÂ Â»,,,"http://www.hindustantimes.com/india-news/all-eyes-on-l-g-jung-as-tug-of-war-continues/article1-1243117.aspx,http://www.thehindu.com/news/cities/Delhi/jagdish-mukhi-meets-amit-shah/article6236520.ece",,"/news/section?pz=1&cf=all&ned=in&hl=en&q=Arvind+Kejriwal&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Aam+Aadmi+Party&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Najeeb+Jung&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Arvind+Kejriwal&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Aam+Aadmi+Party&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Najeeb+Jung&ict=clu_bl","The Delhi assembly is in limelight once again. After a brief brush with power, the AAP had set its sight higher and came down crashing in the general elections.",What's Happening in the Delhi Darbar?,"Arvind Kejriwal gaye Rajghat: Dear AAP, enough with the Gandhi-giri already, - by ,Lt. Governor Najeeb Jung to consult all parties",http://www.theindianrepublic.com/tbp/whats-happening-delhi-darbar-100043746.html?utm_source=mostcommented&utm_medium=morenews&utm_campaign=pdt,"http://www.firstpost.com/politics/arvind-kejriwal-gaye-rajghat-dear-aap-enough-with-the-gandhi-giri-already-1627617.html,https://plus.google.com/104294190408021498141/posts,http://economictimes.indiatimes.com/news/politics-and-nation/lt-governor-najeeb-jung-to-consult-all-parties/articleshow/38826910.cms",http://www.theindianrepublic.com/tbp/whats-happening-delhi-darbar-100043746.html?utm_source=mostcommented&utm_medium=morenews&utm_campaign=pdt
WorldÂ Â»,,"BREAKING: South Korean police have confirmed that a body recovered, from a field last month is that of Yoo Byung-Eun, a fugitive business tycoon wanted over April's ferry disaster: ,http://yhoo.it/1ySJS3O","http://www.independent.co.uk/news/world/asia/south-korea-ferry-disaster-body-of-fugitive-billionaire-ferry-boss-found-in-a-field-9620053.html,http://www.cnn.com/2014/07/21/world/asia/south-korea-ferry/","https://plus.google.com/+YahooNews/posts/S6r7A5Wfxsx,http://yhoo.it/1ySJS3O","/news/section?pz=1&cf=all&ned=in&hl=en&q=South+Korea&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Police&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=South+Korea&ict=clu_bl,/news/section?pz=1&cf=all&ned=in&hl=en&q=Police&ict=clu_bl","South Korean police said Tuesday that they had found the body of a fugitive businessman wanted in connection with April's ferry disaster that left more than 300 people, many of them high school students, dead or missing.",South Korea ferry disaster: Body of missing shipping tycoon found,"Body of fugitive ferry owner found,Korea ferry businessman's body found next to book, alcohol bottles,Yoo Byung-eun",http://www.foxnews.com/world/2014/07/22/south-korea-ferry-disaster-body-missing-shipping-tycoon-found/,"http://www.koreatimes.co.kr/www/news/nation/2014/07/116_161507.html,http://www.euronews.com/newswires/2608512-south-korea-police-body-belongs-to-fugitive-ferry-businessman/,http://en.wikipedia.org/wiki/Yoo_Byung-eun",http://www.foxnews.com/world/2014/07/22/south-korea-ferry-disaster-body-missing-shipping-tycoon-found/
WorldÂ Â»,,,,,,"UNITED NATIONS - The U.N. Security Council unanimously adopted a resolution Monday demanding international access to the site of the plane downed over eastern Ukraine and an end to military activities around the area, following intense pressure on aÂ ...",Malaysia Air crash: UN approves resolution calling for probe,,http://www.foxnews.com/world/2014/07/21/malaysia-air-crash-un-approves-resolution-calling-for-probe/,,http://www.foxnews.com/world/2014/07/21/malaysia-air-crash-un-approves-resolution-calling-for-probe/
